group,n_AI,n_real,AUC,EER,accuracy@thr,TPR_detect_AI@thr,TNR_specificity@thr,FPR_real_as_fake@thr,precision@thr,F1@thr,mean_score_AI,mean_score_real
overall_all_AI_vs_real,70,31,0.4968,0.5081,0.5149,0.5571,0.4194,0.5806,0.6842,0.6142,0.5258,0.53
ltx23_vs_real,23,31,0.5919,0.3513,0.5185,0.6522,0.4194,0.5806,0.4545,0.5357,0.5946,0.53
omniflash_vs_real,25,31,0.3768,0.6426,0.3929,0.36,0.4194,0.5806,0.3333,0.3462,0.4383,0.53
veo31_vs_real,22,31,0.5337,0.4919,0.5283,0.6818,0.4194,0.5806,0.4545,0.5455,0.5532,0.53
face_subset_AI_vs_real,28,11,0.5682,0.5406,0.3846,0.2143,0.8182,0.1818,0.75,0.3333,0.349,0.295
